Category: All categories

Month,cinema showings: (United Kingdom)
2004-01,0
2004-02,0
2004-03,0
2004-04,90
2004-05,53
2004-06,78
2004-07,46
2004-08,51
2004-09,100
2004-10,59
2004-11,0
2004-12,0
2005-01,56
2005-02,36
2005-03,56
2005-04,59
2005-05,48
2005-06,41
2005-07,12
2005-08,39
2005-09,45
2005-10,45
2005-11,68
2005-12,47
2006-01,62
2006-02,45
2006-03,18
2006-04,41
2006-05,56
2006-06,35
2006-07,52
2006-08,36
2006-09,41
2006-10,49
2006-11,49
2006-12,57
2007-01,31
2007-02,67
2007-03,31
2007-04,32
2007-05,45
2007-06,42
2007-07,32
2007-08,43
2007-09,27
2007-10,45
2007-11,43
2007-12,39
2008-01,31
2008-02,39
2008-03,22
2008-04,24
2008-05,40
2008-06,47
2008-07,45
2008-08,57
2008-09,24
2008-10,42
2008-11,31
2008-12,28
2009-01,58
2009-02,40
2009-03,24
2009-04,31
2009-05,24
2009-06,32
2009-07,35
2009-08,38
2009-09,28
2009-10,36
2009-11,35
2009-12,32
2010-01,36
2010-02,36
2010-03,38
2010-04,34
2010-05,31
2010-06,23
2010-07,33
2010-08,28
2010-09,22
2010-10,23
2010-11,19
2010-12,27
2011-01,27
2011-02,45
2011-03,35
2011-04,35
2011-05,37
2011-06,30
2011-07,44
2011-08,46
2011-09,29
2011-10,40
2011-11,39
2011-12,32
2012-01,34
2012-02,47
2012-03,25
2012-04,41
2012-05,27
2012-06,33
2012-07,39
2012-08,48
2012-09,33
2012-10,51
2012-11,42
2012-12,42
2013-01,52
2013-02,52
2013-03,39
2013-04,35
2013-05,35
2013-06,40
2013-07,36
2013-08,38
2013-09,42
2013-10,47
2013-11,38
2013-12,40
2014-01,45
2014-02,44
2014-03,24
2014-04,27
2014-05,27
2014-06,29
2014-07,39
2014-08,41
2014-09,29
2014-10,41
2014-11,35
2014-12,40
2015-01,49
2015-02,63
2015-03,41
2015-04,38
2015-05,37
2015-06,43
2015-07,53
2015-08,59
2015-09,46
2015-10,64
2015-11,61
2015-12,70
2016-01,64
2016-02,70
2016-03,52
2016-04,51
2016-05,43
2016-06,45
2016-07,66
2016-08,78
2016-09,63
2016-10,68
2016-11,50
2016-12,67
2017-01,80
2017-02,93
2017-03,77
2017-04,56
2017-05,45
2017-06,50
2017-07,80
2017-08,72
2017-09,75
2017-10,68
2017-11,72
2017-12,76
2018-01,84
2018-02,84
2018-03,73
2018-04,73
2018-05,53
2018-06,54
2018-07,76
2018-08,88
2018-09,57
2018-10,69
2018-11,66
2018-12,54
2019-01,55
2019-02,69
2019-03,54
2019-04,59
2019-05,49
2019-06,46
2019-07,60
2019-08,62
2019-09,57
2019-10,61
2019-11,59
2019-12,53
2020-01,51
2020-02,61
2020-03,15
2020-04,0
2020-05,0
2020-06,2
2020-07,7
2020-08,14
2020-09,12
2020-10,14
2020-11,0
2020-12,3
2021-01,0
2021-02,2
2021-03,0
2021-04,1
2021-05,14
2021-06,21
2021-07,22
2021-08,31
2021-09,23
2021-10,37
2021-11,28
2021-12,34
2022-01,25
2022-02,30
2022-03,19
2022-04,21
2022-05,23
2022-06,23
2022-07,29
2022-08,25
2022-09,22
2022-10,26
2022-11,24
2022-12,20
2023-01,21
2023-02,27
2023-03,27
