Category: All categories

Month,films: (United Kingdom)
2004-01,58
2004-02,57
2004-03,58
2004-04,57
2004-05,55
2004-06,49
2004-07,52
2004-08,52
2004-09,57
2004-10,61
2004-11,61
2004-12,67
2005-01,58
2005-02,59
2005-03,56
2005-04,55
2005-05,56
2005-06,52
2005-07,55
2005-08,52
2005-09,55
2005-10,58
2005-11,55
2005-12,63
2006-01,54
2006-02,56
2006-03,55
2006-04,53
2006-05,50
2006-06,46
2006-07,48
2006-08,50
2006-09,49
2006-10,55
2006-11,52
2006-12,55
2007-01,54
2007-02,51
2007-03,54
2007-04,50
2007-05,53
2007-06,50
2007-07,55
2007-08,51
2007-09,48
2007-10,53
2007-11,54
2007-12,64
2008-01,60
2008-02,56
2008-03,57
2008-04,51
2008-05,49
2008-06,50
2008-07,57
2008-08,55
2008-09,49
2008-10,52
2008-11,54
2008-12,58
2009-01,55
2009-02,55
2009-03,50
2009-04,49
2009-05,50
2009-06,46
2009-07,50
2009-08,51
2009-09,48
2009-10,50
2009-11,52
2009-12,62
2010-01,55
2010-02,53
2010-03,52
2010-04,55
2010-05,48
2010-06,46
2010-07,52
2010-08,54
2010-09,48
2010-10,51
2010-11,51
2010-12,57
2011-01,73
2011-02,73
2011-03,64
2011-04,68
2011-05,69
2011-06,68
2011-07,73
2011-08,76
2011-09,69
2011-10,71
2011-11,71
2011-12,82
2012-01,76
2012-02,74
2012-03,67
2012-04,70
2012-05,62
2012-06,69
2012-07,70
2012-08,72
2012-09,65
2012-10,71
2012-11,67
2012-12,82
2013-01,82
2013-02,77
2013-03,78
2013-04,68
2013-05,72
2013-06,64
2013-07,65
2013-08,78
2013-09,69
2013-10,71
2013-11,73
2013-12,94
2014-01,89
2014-02,84
2014-03,75
2014-04,78
2014-05,75
2014-06,66
2014-07,71
2014-08,80
2014-09,66
2014-10,75
2014-11,76
2014-12,94
2015-01,83
2015-02,74
2015-03,71
2015-04,72
2015-05,75
2015-06,71
2015-07,71
2015-08,81
2015-09,71
2015-10,78
2015-11,78
2015-12,96
2016-01,85
2016-02,80
2016-03,75
2016-04,73
2016-05,67
2016-06,60
2016-07,72
2016-08,68
2016-09,67
2016-10,73
2016-11,68
2016-12,100
2017-01,84
2017-02,80
2017-03,70
2017-04,69
2017-05,62
2017-06,57
2017-07,67
2017-08,67
2017-09,62
2017-10,66
2017-11,61
2017-12,80
2018-01,70
2018-02,66
2018-03,65
2018-04,62
2018-05,52
2018-06,49
2018-07,55
2018-08,67
2018-09,59
2018-10,61
2018-11,60
2018-12,78
2019-01,66
2019-02,61
2019-03,55
2019-04,54
2019-05,59
2019-06,48
2019-07,52
2019-08,60
2019-09,52
2019-10,57
2019-11,58
2019-12,68
2020-01,59
2020-02,60
2020-03,63
2020-04,85
2020-05,75
2020-06,66
2020-07,57
2020-08,57
2020-09,53
2020-10,62
2020-11,57
2020-12,73
2021-01,66
2021-02,63
2021-03,54
2021-04,51
2021-05,49
2021-06,44
2021-07,50
2021-08,56
2021-09,47
2021-10,62
2021-11,50
2021-12,70
2022-01,61
2022-02,52
2022-03,47
2022-04,55
2022-05,49
2022-06,47
2022-07,49
2022-08,52
2022-09,49
2022-10,54
2022-11,47
2022-12,62
2023-01,55
2023-02,51
2023-03,50
