Category: All categories

Month,Academy Awards: (United Kingdom)
2004-01,22
2004-02,26
2004-03,56
2004-04,10
2004-05,9
2004-06,7
2004-07,6
2004-08,7
2004-09,8
2004-10,10
2004-11,10
2004-12,11
2005-01,22
2005-02,58
2005-03,23
2005-04,11
2005-05,8
2005-06,7
2005-07,6
2005-08,6
2005-09,7
2005-10,7
2005-11,8
2005-12,8
2006-01,16
2006-02,23
2006-03,55
2006-04,8
2006-05,7
2006-06,5
2006-07,5
2006-08,5
2006-09,6
2006-10,7
2006-11,6
2006-12,7
2007-01,16
2007-02,58
2007-03,14
2007-04,7
2007-05,6
2007-06,5
2007-07,5
2007-08,4
2007-09,5
2007-10,6
2007-11,7
2007-12,7
2008-01,14
2008-02,43
2008-03,11
2008-04,6
2008-05,6
2008-06,5
2008-07,6
2008-08,5
2008-09,5
2008-10,5
2008-11,6
2008-12,6
2009-01,18
2009-02,66
2009-03,11
2009-04,6
2009-05,7
2009-06,6
2009-07,5
2009-08,5
2009-09,5
2009-10,5
2009-11,6
2009-12,6
2010-01,8
2010-02,20
2010-03,62
2010-04,8
2010-05,6
2010-06,5
2010-07,6
2010-08,5
2010-09,5
2010-10,5
2010-11,6
2010-12,6
2011-01,16
2011-02,63
2011-03,20
2011-04,8
2011-05,6
2011-06,6
2011-07,6
2011-08,5
2011-09,6
2011-10,6
2011-11,6
2011-12,7
2012-01,15
2012-02,58
2012-03,13
2012-04,8
2012-05,6
2012-06,5
2012-07,6
2012-08,6
2012-09,7
2012-10,5
2012-11,6
2012-12,7
2013-01,22
2013-02,95
2013-03,16
2013-04,8
2013-05,7
2013-06,7
2013-07,5
2013-08,7
2013-09,6
2013-10,7
2013-11,7
2013-12,9
2014-01,25
2014-02,24
2014-03,92
2014-04,12
2014-05,9
2014-06,7
2014-07,7
2014-08,8
2014-09,8
2014-10,9
2014-11,7
2014-12,10
2015-01,26
2015-02,92
2015-03,13
2015-04,8
2015-05,7
2015-06,7
2015-07,6
2015-08,7
2015-09,6
2015-10,7
2015-11,8
2015-12,9
2016-01,40
2016-02,100
2016-03,30
2016-04,9
2016-05,7
2016-06,8
2016-07,6
2016-08,6
2016-09,6
2016-10,6
2016-11,6
2016-12,9
2017-01,20
2017-02,82
2017-03,18
2017-04,8
2017-05,7
2017-06,6
2017-07,7
2017-08,6
2017-09,6
2017-10,7
2017-11,7
2017-12,10
2018-01,22
2018-02,19
2018-03,67
2018-04,8
2018-05,7
2018-06,6
2018-07,7
2018-08,7
2018-09,7
2018-10,7
2018-11,7
2018-12,10
2019-01,24
2019-02,80
2019-03,18
2019-04,8
2019-05,7
2019-06,6
2019-07,6
2019-08,7
2019-09,8
2019-10,8
2019-11,7
2019-12,8
2020-01,24
2020-02,61
2020-03,9
2020-04,15
2020-05,15
2020-06,9
2020-07,9
2020-08,9
2020-09,7
2020-10,7
2020-11,8
2020-12,9
2021-01,11
2021-02,9
2021-03,14
2021-04,29
2021-05,9
2021-06,6
2021-07,6
2021-08,7
2021-09,6
2021-10,7
2021-11,6
2021-12,9
2022-01,10
2022-02,20
2022-03,78
2022-04,21
2022-05,8
2022-06,8
2022-07,8
2022-08,8
2022-09,7
2022-10,7
2022-11,7
2022-12,9
2023-01,21
2023-02,18
2023-03,92
