Category: All categories

Month,cinemas near me: (United Kingdom)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,21
2004-06,9
2004-07,0
2004-08,0
2004-09,0
2004-10,24
2004-11,8
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,6
2005-05,0
2005-06,9
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,6
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,7
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,11
2007-05,0
2007-06,0
2007-07,0
2007-08,3
2007-09,8
2007-10,0
2007-11,0
2007-12,3
2008-01,3
2008-02,0
2008-03,3
2008-04,3
2008-05,0
2008-06,3
2008-07,0
2008-08,4
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,5
2009-03,2
2009-04,0
2009-05,0
2009-06,0
2009-07,3
2009-08,0
2009-09,5
2009-10,0
2009-11,0
2009-12,0
2010-01,4
2010-02,0
2010-03,2
2010-04,0
2010-05,0
2010-06,2
2010-07,1
2010-08,1
2010-09,0
2010-10,1
2010-11,3
2010-12,0
2011-01,3
2011-02,4
2011-03,1
2011-04,0
2011-05,2
2011-06,2
2011-07,2
2011-08,4
2011-09,3
2011-10,4
2011-11,0
2011-12,3
2012-01,1
2012-02,1
2012-03,2
2012-04,3
2012-05,2
2012-06,6
2012-07,8
2012-08,16
2012-09,8
2012-10,5
2012-11,4
2012-12,8
2013-01,11
2013-02,6
2013-03,2
2013-04,2
2013-05,7
2013-06,8
2013-07,10
2013-08,11
2013-09,9
2013-10,9
2013-11,8
2013-12,8
2014-01,11
2014-02,12
2014-03,9
2014-04,12
2014-05,6
2014-06,10
2014-07,16
2014-08,16
2014-09,11
2014-10,21
2014-11,18
2014-12,19
2015-01,13
2015-02,19
2015-03,14
2015-04,16
2015-05,11
2015-06,15
2015-07,23
2015-08,24
2015-09,18
2015-10,34
2015-11,31
2015-12,41
2016-01,37
2016-02,31
2016-03,23
2016-04,25
2016-05,22
2016-06,28
2016-07,32
2016-08,38
2016-09,30
2016-10,33
2016-11,25
2016-12,30
2017-01,35
2017-02,45
2017-03,31
2017-04,36
2017-05,23
2017-06,39
2017-07,48
2017-08,48
2017-09,40
2017-10,47
2017-11,36
2017-12,46
2018-01,52
2018-02,60
2018-03,47
2018-04,47
2018-05,41
2018-06,34
2018-07,50
2018-08,76
2018-09,48
2018-10,63
2018-11,50
2018-12,56
2019-01,49
2019-02,46
2019-03,38
2019-04,66
2019-05,54
2019-06,44
2019-07,63
2019-08,63
2019-09,57
2019-10,66
2019-11,57
2019-12,61
2020-01,59
2020-02,63
2020-03,17
2020-04,1
2020-05,3
2020-06,11
2020-07,47
2020-08,47
2020-09,29
2020-10,35
2020-11,8
2020-12,23
2021-01,2
2021-02,3
2021-03,2
2021-04,15
2021-05,56
2021-06,57
2021-07,57
2021-08,60
2021-09,52
2021-10,100
2021-11,51
2021-12,65
2022-01,50
2022-02,58
2022-03,46
2022-04,42
2022-05,46
2022-06,47
2022-07,50
2022-08,50
2022-09,43
2022-10,52
2022-11,36
2022-12,41
2023-01,43
2023-02,38
2023-03,36
