cinema_name,cinema_url,postcode_category
Picturehouse Central,https://www.google.com/maps/place/Picturehouse+Central/data=!4m7!3m6!1s0x487604d3c1a457dd:0x793e8e616512292f!8m2!3d51.5106893!4d-0.133724!16s%2Fg%2F11b7ynnfvr!19sChIJ3VekwdMEdkgRLykSZWGOPnk?authuser=0&hl=en&rclk=1,Central+London
Empire Leicester Square,https://www.google.com/maps/place/Empire+Leicester+Square/data=!4m7!3m6!1s0x487604d2152fecc3:0xea5ca232389d71bf!8m2!3d51.5108106!4d-0.1304653!16s%2Fg%2F11kxys8w4k!19sChIJw-wvFdIEdkgRv3GdODKiXOo?authuser=0&hl=en&rclk=1,Central+London
ODEON Luxe Leicester Square,https://www.google.com/maps/place/ODEON+Luxe+Leicester+Square/data=!4m7!3m6!1s0x487605a994063323:0x1f3047f5177e5af1!8m2!3d51.5104854!4d-0.129325!16zL20vMDJrOHRf!19sChIJIzMGlKkFdkgR8Vp-F_VHMB8?authuser=0&hl=en&rclk=1,Central+London
Vue Cinema London - Piccadilly,https://www.google.com/maps/place/Vue+Cinema+London+-+Piccadilly/data=!4m7!3m6!1s0x487604d27745941f:0x7c9c1b0746091aca!8m2!3d51.5091339!4d-0.134385!16s%2Fg%2F1ts3f325!19sChIJH5RFd9IEdkgRyhoJRgcbnHw?authuser=0&hl=en&rclk=1,Central+London
Vue Cinema London - West End (Leicester Square),https://www.google.com/maps/place/Vue+Cinema+London+-+West+End+%28Leicester+Square%29/data=!4m7!3m6!1s0x487bae6c80f09443:0x854d97e83b301387!8m2!3d51.5112151!4d-0.1292645!16s%2Fm%2F0_qftmn!19sChIJQ5TwgGyue0gRhxMwO-iXTYU?authuser=0&hl=en&rclk=1,Central+London
ODEON Luxe Haymarket,https://www.google.com/maps/place/ODEON+Luxe+Haymarket/data=!4m7!3m6!1s0x487604d17f1c76b7:0xd1053502518e721f!8m2!3d51.5095573!4d-0.1312027!16s%2Fm%2F09gk07q!19sChIJt3Ycf9EEdkgRH3KOUQI1BdE?authuser=0&hl=en&rclk=1,Central+London
ODEON Luxe West End,https://www.google.com/maps/place/ODEON+Luxe+West+End/data=!4m7!3m6!1s0x487604d2084516f3:0xec843e06aca5ab87!8m2!3d51.5099216!4d-0.1301796!16zL20vMDJrOHdy!19sChIJ8xZFCNIEdkgRh6ulrAY-hOw?authuser=0&hl=en&rclk=1,Central+London
ODEON Covent Garden,https://www.google.com/maps/place/ODEON+Covent+Garden/data=!4m7!3m6!1s0x487604cd4f5f5061:0x52b7d5f652fb7511!8m2!3d51.514224!4d-0.128237!16zL20vMGc5YjJu!19sChIJYVBfT80EdkgREXX7UvbVt1I?authuser=0&hl=en&rclk=1,Central+London
Curzon Soho,https://www.google.com/maps/place/Curzon+Soho/data=!4m7!3m6!1s0x487604d2f64ffb47:0xc9b10284ebca42e7!8m2!3d51.5127004!4d-0.1305849!16s%2Fm%2F0108d1xv!19sChIJR_tP9tIEdkgR50LK64QCsck?authuser=0&hl=en&rclk=1,Central+London
ODEON Tottenham Court Rd,https://www.google.com/maps/place/ODEON+Tottenham+Court+Rd/data=!4m7!3m6!1s0x48761b28f3a72fa7:0x7089564d2553546e!8m2!3d51.5183526!4d-0.1324275!16s%2Fg%2F1tfkq7hg!19sChIJpy-n8ygbdkgRblRTJU1WiXA?authuser=0&hl=en&rclk=1,Central+London
