,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
0,0,Mission: Impossible - Ghost Protocol,8188209.0,509.0,16086.854616895876,Paramount,01-01-2012
1,1,The Girl with the Dragon Tattoo,4325594.0,479.0,9030.46764091858,Sony Pictures,01-01-2012
2,2,Sherlock Holmes: A Game of Shadows,2546529.0,545.0,4672.530275229357,Warner Bros,01-01-2012
3,3,Alvin and the Chipmunks: Chipwrecked,1451331.0,512.0,2834.630859375,20th Century Fox,01-01-2012
4,4,Puss in Boots,1366975.0,509.0,2685.6090373280945,Paramount,01-01-2012
5,5,New Year's Eve,736024.0,405.0,1817.3432098765431,Warner Bros,01-01-2012
6,6,Arthur Christmas,302006.0,454.0,665.2114537444934,Sony Pictures,01-01-2012
7,7,Hugo,244283.0,240.0,1017.8458333333332,Entertainment,01-01-2012
8,8,Happy Feet 2,221804.0,409.0,542.3080684596576,Warner Bros,01-01-2012
9,9,Don 2,182669.0,74.0,2468.5,Reliance,01-01-2012
10,10,The Twilight Saga: Breaking Dawn - Part 1,136555.0,235.0,581.0851063829788,eOne Films,01-01-2012
11,11,The Lady,91690.0,117.0,783.6752136752136,Entertainment,01-01-2012
12,12,The Artist,48445.0,1.0,48445.0,Entertainment,01-01-2012
13,13,Johnny English Reborn,33076.0,78.0,424.0512820512821,Universal,01-01-2012
14,14,My Week with Marilyn,24203.0,32.0,756.34375,Entertainment,01-01-2012
0,0,Rogue One: A Star Wars Story,5959299.0,673.0,8854.82763744428,Disney,01-01-2017
1,1,Why Him?,2183715.0,448.0,4874.363839285715,20th Century Fox,01-01-2017
2,2,Passengers,1898267.0,575.0,3301.3339130434783,Sony Pictures,01-01-2017
3,3,Monster Trucks,1726229.0,471.0,3665.029723991508,Paramount,01-01-2017
4,4,Moana,1620268.0,623.0,2600.7512038523278,Disney,01-01-2017
5,5,Fantastic Beasts and Where to Find Them,1514227.0,504.0,3004.4186507936506,Warner Bros,01-01-2017
