,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date,Film
0,15,Total,19899393.0,4599.0,4326.89562948467,,01012012,
0,15,,17645078.0,363.53333333333336,2445.467499007005,,01012017,Total
0,15,Total,10804819.0,4961.0,2177.951824228986,,01022009,
0,15,Total,14825707.0,,,,01022015,
0,15,Total,10744149.0,4915.0,2185.9916581892167,,01032009,
0,15,Total,13087797.0,,,,01032015,
0,15,,10176946.0,,,,01032020,Total
0,15,Total,10328774.0,3973.0,2599.741756858797,,01042012,
0,15,,18709482.0,392.6,2583.393130595949,,01042018,Total
0,15,Total,12820480.0,4656.0,2753.539518900344,,01052011,
0,15,,23250570.0,,,,01052016,Total
0,15,,9444587.0,,,,01052022,Total
0,15,Total,16570369.0,3262.0,5079.8188228080935,,01062008,
0,15,Total,16248658.0,4624.0,3513.9831314878893,,01062014,
0,15,Total,21433483.0,3139.0,6828.124561962409,,01072007,
0,15,Total,5702426.0,3938.0,1448.0512950736415,,01072012,
0,15,,6900728.2430949295,365.2,8121.835403986666,,01072018,Total
0,15,Total,22130944.0,3610.0,6130.45540166205,,01082010,
0,15,,10602833.0,,,,01082021,Total
0,15,Total,11430214.0,5852.0,1953.214969241285,,01092013,
0,15,,8683719.0,,,,01092019,Total
0,15,,10430624.673554055,371.26666666666665,1644.1444355774318,,01102017,Total
0,15,Total,13868019.0,4323.0,3207.961832061069,,01112009,
0,15,,47673096.0,,,,01112015,Total
0,15,,1383749.0,,,,01112020,Total
0,15,Total,11839268.0,4880.0,2426.079508196721,,01122013,
0,15,,16421610.0,,,,01122019,Total
0,15,,14541358.0,,,,01122022,Total
0,15,Total,17666560.0,5013.0,3524.149212048673,,02012011,
0,15,,12366704.0,,,,02012022,Total
0,15,Total,10052954.0,5153.0,1950.8934601203184,,02022014,
0,15,,10813352.0,,,,02022020,Total
0,15,Total,7760737.0,4823.0,1609.10989010989,,02032008,
0,15,Total,13097245.0,5581.0,2346.7559577136717,,02032014,
0,15,,15039713.825496305,316.8666666666667,15455.780328795136,,02042017,Total
